RunTime,WheelSpeed,WheelBackupSpeed,WheelSpeedReference,DutyCycle,WheelCurrent,DigitalCurrent,MCUtemperature,BackupMode,ControlMode,MotorSwitch,WheelErrorState
378.847,0,0,0,-0.025721645,3,28,24,False,SpeedController,True,
379.552,0,0,0,-0.014559987,3,28,24,False,SpeedController,True,
380.258,0,0,0,0,3,28,23,False,SpeedController,True,
380.972,0,0,0,-0.0133552775,3,28,25,False,SpeedController,True,
381.660,0,0,0,0,3,28,25,False,SpeedController,True,
382.371,0,0,0,0,3,28,22,False,SpeedController,True,
383.083,0,0,0,-0.015459371,3,28,23,False,SpeedController,True,
383.787,0,0,0,0,3,28,24,False,SpeedController,True,
384.503,0,0,0,0,3,28,24,False,SpeedController,True,
385.197,0,0,0,0,3,28,24,False,SpeedController,True,
385.900,0,0,0,0,3,28,24,False,SpeedController,True,
386.613,0,0,0,-0.0028716852,3,28,24,False,SpeedController,True,
387.319,0,0,0,0,3,28,24,False,SpeedController,True,
388.022,0,0,0,0,3,28,24,False,SpeedController,True,
388.743,0,0,0,0,3,28,23,False,SpeedController,True,
389.445,0,0,0,0,3,28,24,False,SpeedController,True,
390.148,0,0,0,0,3,28,24,False,SpeedController,True,
390.854,0,0,0,0,3,28,24,False,SpeedController,True,
391.557,0,0,0,0,3,28,25,False,SpeedController,True,
392.262,0,0,0,0.01714408,3,28,24,False,SpeedController,True,
392.981,0,0,0,0,3,28,23,False,SpeedController,True,
393.685,0,0,0,0,3,28,24,False,SpeedController,True,
394.390,0,0,0,0,3,28,25,False,SpeedController,True,
395.114,0,0,0,0,3,28,24,False,SpeedController,True,
395.796,0,0,0,0,3,28,25,False,SpeedController,True,
396.498,0,0,0,0,3,28,24,False,SpeedController,True,
397.201,0,0,0,0,3,28,23,False,SpeedController,True,
397.907,0,0,0,0,3,28,23,False,SpeedController,True,
398.607,0,0,0,-0.016526543,3,28,24,False,SpeedController,True,
399.310,0,0,0,0,3,28,24,False,SpeedController,True,
400.015,0,0,0,0,3,28,25,False,SpeedController,True,
400.735,0,0,0,0,3,28,24,False,SpeedController,True,
401.421,0,0,0,0,3,28,25,False,SpeedController,True,
402.126,0,0,0,-0.004687357,3,28,23,False,SpeedController,True,
402.827,0,0,0,0,3,28,24,False,SpeedController,True,
403.531,0,0,0,0,3,28,23,False,SpeedController,True,
404.234,0,0,0,0,3,28,24,False,SpeedController,True,
404.940,0,0,0,0,3,28,23,False,SpeedController,True,
405.643,0,0,0,0,3,28,25,False,SpeedController,True,
406.348,0,0,0,0,3,28,24,False,SpeedController,True,
407.051,0,0,0,0,3,28,25,False,SpeedController,True,
407.756,0,0,0,0.0085412245,3,28,24,False,SpeedController,True,
408.459,0,0,0,0,3,28,24,False,SpeedController,True,
409.163,0,0,0,0,3,28,24,False,SpeedController,True,
409.868,0,0,0,0,3,28,23,False,SpeedController,True,
410.593,0,0,0,-0.0160987,3,28,24,False,SpeedController,True,
411.276,0,0,0,0,3,28,24,False,SpeedController,True,
411.979,0,0,0,0,3,28,24,False,SpeedController,True,
412.682,0,0,0,0,3,28,23,False,SpeedController,True,
413.385,0,0,0,-0.012345182,3,28,24,False,SpeedController,True,
414.090,0,0,0,0,3,28,24,False,SpeedController,True,
414.796,0,0,0,0,3,28,23,False,SpeedController,True,
415.501,0,0,0,0,3,28,24,False,SpeedController,True,
416.191,0,0,0,-0.0038761534,3,28,23,False,SpeedController,True,
416.911,0,0,0,0,3,28,23,False,SpeedController,True,
417.631,0,0,0,0,3,28,24,False,SpeedController,True,
418.336,0,0,0,0,3,28,22,False,SpeedController,True,
419.040,0,0,0,-0.010947977,3,28,24,False,SpeedController,True,
419.743,0,0,0,0.011095838,3,28,24,False,SpeedController,True,
420.447,0,0,0,0,3,28,23,False,SpeedController,True,
421.151,0,0,0,0,3,28,23,False,SpeedController,True,
421.871,0,0,0,0,3,28,25,False,SpeedController,True,
422.575,0,0,0,0,3,28,24,False,SpeedController,True,
423.279,0,0,0,0,3,28,23,False,SpeedController,True,
